,trade_date,md_close,gl_close
262,20171024,48.59,42.16
263,20171023,47.63,41.63
264,20171020,47.64,42.45
265,20171019,48.63,42.45
266,20171018,48.73,44.0
267,20171017,48.15,44.04
268,20171016,46.84,45.51
269,20171013,47.68,45.01
270,20171012,47.68,47.36
271,20171011,47.1,47.8
272,20171010,46.66,45.82
273,20171009,46.47,45.95
274,20170929,44.19,45.86
275,20170928,43.43,45.46
276,20170927,43.81,44.86
277,20170926,42.68,45.64
278,20170925,43.09,45.67
279,20170922,44.1,43.74
280,20170921,43.1,43.53
281,20170920,43.29,44.19
282,20170919,42.0,43.53
283,20170918,42.03,41.83
284,20170915,42.03,42.26
285,20170914,40.9,41.8
286,20170913,41.19,42.55
287,20170912,40.22,43.75
288,20170911,40.31,43.77
289,20170908,40.99,42.88
290,20170907,40.97,41.81
291,20170906,40.97,41.27
292,20170905,41.41,40.63
293,20170904,41.36,40.5
294,20170901,40.84,41.06
295,20170831,41.0,41.19
296,20170830,41.98,40.68
297,20170829,41.7,39.5
298,20170828,42.27,40.27
299,20170825,41.9,40.42
300,20170824,41.52,39.95
301,20170823,40.81,38.79
302,20170822,40.45,39.1
303,20170821,39.71,37.9
304,20170818,39.13,37.9
305,20170817,39.32,38.55
306,20170816,39.05,38.4
307,20170815,39.77,38.93
308,20170814,40.12,39.25
309,20170811,39.64,37.99
310,20170810,40.85,37.83
311,20170809,40.8,37.29
312,20170808,39.98,37.94
313,20170807,40.29,37.5
314,20170804,39.45,37.33
315,20170803,40.08,36.7
316,20170802,40.8,37.11
317,20170801,41.19,37.09
318,20170731,41.2,37.8
319,20170728,41.4,38.19
320,20170727,41.2,38.13
321,20170726,42.34,38.08
322,20170725,43.42,38.11
323,20170724,43.42,38.65
324,20170721,41.9,39.58
325,20170720,42.25,39.38
326,20170719,41.22,39.82
327,20170718,41.0,39.65
328,20170717,41.66,39.43
329,20170714,42.17,39.2
330,20170713,41.99,39.06
331,20170712,41.7,38.9
332,20170711,42.95,38.27
333,20170710,41.37,38.08
334,20170707,41.63,37.92
335,20170706,42.6,38.58
336,20170705,42.94,38.83
337,20170704,41.5,38.16
338,20170703,41.8,38.82
339,20170630,43.04,39.18
340,20170629,43.16,38.49
341,20170628,42.78,38.43
342,20170627,44.0,37.79
343,20170626,44.25,38.33
344,20170623,44.48,39.02
345,20170622,42.5,39.26
346,20170621,42.79,39.24
347,20170620,40.88,39.57
348,20170619,40.34,38.9
349,20170616,39.06,40.0
350,20170615,39.7,41.02
351,20170614,39.1,41.3
352,20170613,40.16,40.71
353,20170612,40.46,41.04
354,20170609,40.3,39.99
355,20170608,40.25,40.23
356,20170607,38.7,41.06
357,20170606,38.0,41.08
358,20170605,36.39,41.01
359,20170602,36.39,40.79
360,20170601,36.5,41.53
361,20170531,36.12,39.06
362,20170526,35.67,38.41
363,20170525,35.33,39.2
364,20170524,36.11,39.26
365,20170523,36.32,39.87
366,20170522,36.21,40.49
367,20170519,35.54,41.17
368,20170518,34.48,40.5
369,20170517,34.37,40.36
370,20170516,35.32,41.43
371,20170515,35.31,40.64
372,20170512,35.75,40.01
373,20170511,35.82,38.62
374,20170510,35.15,38.54
375,20170509,35.3,37.31
376,20170508,35.68,37.31
377,20170505,36.15,35.99
378,20170504,35.3,36.54
379,20170503,35.19,36.43
380,20170502,34.92,37.35
381,20170428,33.66,37.57
382,20170427,34.04,36.04
383,20170426,34.3,36.25
384,20170425,34.24,34.6
385,20170424,33.12,34.26
386,20170421,34.23,33.27
387,20170420,34.5,33.5
388,20170419,34.23,33.97
389,20170418,34.08,34.08
390,20170417,33.18,34.07
391,20170414,32.64,33.59
392,20170413,32.96,33.75
393,20170412,32.4,33.99
394,20170411,32.4,33.82
395,20170410,32.9,33.1
396,20170407,33.65,32.64
397,20170406,33.89,32.92
398,20170405,33.19,33.58
399,20170331,33.3,33.03
400,20170330,33.13,33.07
401,20170329,33.8,32.88
402,20170328,33.95,31.48
403,20170327,34.15,31.16
404,20170324,34.92,31.68
405,20170323,34.75,32.77
406,20170322,34.36,32.66
407,20170321,34.31,32.65
408,20170320,33.48,32.97
409,20170317,33.41,33.0
410,20170316,33.98,33.58
411,20170315,34.42,33.43
412,20170314,34.02,33.84
413,20170313,33.9,32.51
414,20170310,34.22,32.91
415,20170309,32.92,33.02
416,20170308,33.28,33.21
417,20170307,33.01,32.23
418,20170306,32.89,31.75
419,20170303,31.72,30.68
420,20170302,31.49,31.25
421,20170301,32.03,30.81
422,20170228,31.86,30.83
423,20170227,31.61,31.52
424,20170224,32.37,31.81
425,20170223,33.1,32.0
426,20170222,33.05,31.46
427,20170221,32.45,31.7
428,20170220,32.58,30.72
429,20170217,32.25,31.2
430,20170216,32.03,30.8
431,20170215,31.06,30.71
432,20170214,30.69,31.54
433,20170213,30.91,31.2
434,20170210,30.12,30.5
435,20170209,30.02,30.34
436,20170208,29.88,29.26
437,20170207,29.65,28.81
438,20170206,29.99,29.23
439,20170203,29.9,29.3
440,20170126,29.9,28.71
441,20170125,29.4,28.87
442,20170124,29.1,28.96
443,20170123,28.96,28.4
444,20170120,29.22,28.09
445,20170119,28.77,28.23
446,20170118,29.14,28.15
447,20170117,28.91,27.3
448,20170116,28.25,27.31
449,20170113,28.22,27.46
450,20170112,28.2,27.44
451,20170111,28.6,27.13
452,20170110,29.18,27.85
453,20170109,29.25,27.91
454,20170106,29.39,28.32
455,20170105,29.69,28.24
456,20170104,29.83,28.55
457,20170103,29.12,27.41
458,20161230,28.17,27.59
459,20161229,28.02,26.99
460,20161228,28.07,26.9
461,20161227,28.3,27.1
462,20161226,28.31,25.97
463,20161223,28.13,25.62
464,20161222,28.38,25.35
465,20161221,28.38,25.13
466,20161220,28.23,25.26
